{'realrec_fileid_73.wav': '2.5657238960266113'}
{'realrec_fileid_74.wav': '3.7365286350250244'}
{'realrec_fileid_75.wav': '4.059781074523926'}
{'realrec_fileid_76.wav': '4.008649826049805'}
{'realrec_fileid_77.wav': '3.6981139183044434'}
{'realrec_fileid_78.wav': '3.6032071113586426'}
{'realrec_fileid_79.wav': '2.7410340309143066'}
{'realrec_fileid_8.wav': '2.692328691482544'}
{'realrec_fileid_80.wav': '2.8104281425476074'}
{'realrec_fileid_81.wav': '2.7216427326202393'}
{'realrec_fileid_82.wav': '2.798187494277954'}
{'realrec_fileid_83.wav': '2.776373863220215'}
{'realrec_fileid_84.wav': '2.7819104194641113'}
{'realrec_fileid_85.wav': '2.555586814880371'}
{'realrec_fileid_86.wav': '2.5489304065704346'}
{'realrec_fileid_87.wav': '2.7466166019439697'}
{'realrec_fileid_88.wav': '2.504561424255371'}
{'realrec_fileid_89.wav': '3.6896300315856934'}
{'realrec_fileid_9.wav': '3.4448556900024414'}
{'realrec_fileid_90.wav': '3.2286105155944824'}
{'realrec_fileid_91.wav': '3.9396870136260986'}
{'realrec_fileid_92.wav': '3.870356559753418'}
{'realrec_fileid_93.wav': '4.216403961181641'}
{'realrec_fileid_94.wav': '2.9065005779266357'}
{'realrec_fileid_95.wav': '2.8207390308380127'}
{'realrec_fileid_96.wav': '2.7505340576171875'}
{'realrec_fileid_97.wav': '3.45526123046875'}
{'realrec_fileid_98.wav': '3.1711819171905518'}
{'realrec_fileid_99.wav': '4.249751567840576'}
avg:3.460360204378764
